campus_name,campus_location,rating,students,community_type,city,state,lat_long
Southern Methodist University,"DALLAS, TX",4.5,12373,large urban city,DALLAS, TX,"(32.7762719, -96.7968559)"
Earlham College,"Richmond, IN",4.5,1200,small city,Richmond, IN,"(37.5385087, -77.43428)"
Southern Illinois University Carbondale,"Carbondale, IL",5.0,14000,small city,Carbondale, IL,"(37.7274692, -89.216655)"
University of Louisville,"Louisville, KY",5.0,22000,large urban city,Louisville, KY,"(38.2542376, -85.759407)"
Wichita State University,"Wichita, KS",4.0,15000,large urban city,Wichita, KS,"(37.6922361, -97.3375448)"
SUNY ROCKLAND COMMUNITY COLLEGE,"SUFFERN, NY",3.0,7500,small town,SUFFERN, NY,"(41.1151372, -74.1493948)"
Adelphi University,"Garden City, NY",5.0,7859,small town,Garden City, NY,"(37.9716898, -100.8726618)"
Hobart and William Smith Colleges,"Geneva, NY",4.5,2396,rural community,Geneva, NY,"(46.2017559, 6.1466014)"
University of Illinois Chicago,"Chicago, IL",5.0,30539,large urban city,Chicago, IL,"(41.8755616, -87.6244212)"
Metropolitan State University of Denver,"Denver, CO",4.5,21000,large urban city,Denver, CO,"(39.7392364, -104.984862)"
Montserrat College of Art,"Beverly, MA",4.0,370,small city,Beverly, MA,"(42.5486559, -70.8784256)"
Harvard College,"Cambridge, MA",4.5,6500,medium city,Cambridge, MA,"(52.2055314, 0.1186637)"
Cleveland State University,"Cleveland, OH",4.0,16000,medium city,Cleveland, OH,"(41.4996574, -81.6936772)"
University of Mount Union,"Alliance, OH",3.0,2100,small town,Alliance, OH,"(42.0971897, -102.8707145)"
University of Virginia,"Charlottesville, VA",4.5,22000,small town,Charlottesville, VA,"(38.029306, -78.4766781)"
Gonzaga University,"Spokane, WA",4.5,7450,medium city,Spokane, WA,"(47.6571934, -117.42351)"
James Madison University,"Harrisonburg, VA",4.0,22000,small city,Harrisonburg, VA,"(38.4493315, -78.8688833)"
University of the Arts,"Philadelphia, PA",3.0,1900,large urban city,Philadelphia, PA,"(39.9527237, -75.1635262)"
Stevens Institute of Technology,"Hoboken, NJ",4.0,6825,small city,Hoboken, NJ,"(40.7433066, -74.0323752)"
Towson University,"Towson, MD",5.0,16517,large urban city,Towson, MD,"(39.396459050000004, -76.61481481790992)"
Florida International University,"Miami, FL",4.5,34000,large urban city,Miami, FL,"(25.7741728, -80.19362)"
Antioch College,"Yellow Springs, OH",4.5,125,rural community,Yellow Springs, OH,"(39.8045432, -83.8925234)"
Millersville University of Pennsylvania,"Millersville, PA",3.5,7500,small city,Millersville, PA,"(35.3038485, -118.4578633)"
Mars Hill University,"Mars Hill, NC",3.0,1000,rural community,Mars Hill, NC,"(46.5149885, -67.8668786)"
Kean University,"Union, NJ",3.0,11610,small city,Union, NJ,"(37.4616454, -89.2504793)"
The University of Findlay,"Findlay, OH",3.5,3500,small city,Findlay, OH,"(41.0413873, -83.6503982)"
Fort Lewis College,"Durango, CO",4.0,3443,small town,Durango, CO,"(24.833333, -104.833333)"
Southwestern University,"Georgetown, TX",3.5,1500,small city,Georgetown, TX,"(6.8137426, -58.1624465)"
Lebanon Valley College,"Annville, PA",4.0,1651,rural community,Annville, PA,"(37.3192547, -83.9704832)"
University of New Hampshire-Main Campus,"Durham, NH",4.5,13000,small town,Durham, NH,"(54.666667, -1.75)"
Mohawk Valley Community College,"Utica, NY",2.0,5000,small city,Utica, NY,"(43.1009031, -75.2326641)"
Bryant University,"Smithfield, RI",2.0,3287,small town,Smithfield, RI,"(35.5111996, -78.346102)"
Emerson College,"Boston, MA",4.0,3783,large urban city,Boston, MA,"(42.3554334, -71.060511)"
Manhattan School of Music,"New York, NY",3.0,1035,large urban city,New York, NY,"(40.7127281, -74.0060152)"
Eastern Mennonite University,"Harrisonburg, VA",3.0,1000,small city,Harrisonburg, VA,"(38.4493315, -78.8688833)"
Tidewater Community College,"Norfolk, VA",1.5,7028,large urban city,Norfolk, VA,"(52.666667, 1.0)"
Art Academy of Cincinnati,"Cincinnati, OH",2.5,260,medium city,Cincinnati, OH,"(39.1014537, -84.5124602)"
Joliet Junior College,"Joliet, IL",2.5,10000,small city,Joliet, IL,"(41.5263603, -88.0840212)"
University of Mary Washington,"Fredericksburg, VA",4.0,4000,small city,Fredericksburg, VA,"(38.3031837, -77.4605399)"
Gwynedd Mercy University,"Gwynedd Valley, PA",3.0,1724,small town,Gwynedd Valley, PA,"(40.1842749, -75.2562876)"
Colorado College,"Colorado Springs, CO",2.5,2300,large urban city,Colorado Springs, CO,"(38.8339578, -104.825348)"
University of Puget Sound,"Tacoma, WA",4.0,2200,medium city,Tacoma, WA,"(47.2455013, -122.438329)"
Virginia Wesleyan University,"Virginia Beach, VA",5.0,1750,large urban city,Virginia Beach, VA,"(36.8529841, -75.9774183)"
Fitchburg State University,"FITCHBURG, MA",4.5,3500,small city,FITCHBURG, MA,"(42.5854371, -71.8046023)"
Juniata College,"Huntingdon, PA",3.0,1600,very small town,Huntingdon, PA,"(40.3446332, -78.0281185)"
University of Michigan-Ann Arbor,"Ann Arbor, MI",5.0,46000,medium city,Ann Arbor, MI,"(42.2813722, -83.7484616)"
Worcester State University,"Worcester, MA",4.5,4039,medium city,Worcester, MA,"(42.2625621, -71.8018877)"
Regis College,"Weston, MA",3.5,3014,rural community,Weston, MA,"(51.3471927, -2.9778916)"
West Chester University of Pennsylvania,"West Chester, PA",4.0,17552,small town,West Chester, PA,"(39.9597213, -75.6059638)"
